Fighter,Wins,Losses,KOs,KO_Losses,First_KO_Loss_Date,Post_KO_Win_%
Young Stribling,0,2,0,1,1931-07-03,0.0
Bobby Garcia,0,1,0,1,1926-06-28,0.0
Willie Harmon,0,1,0,1,1926-06-29,0.0
Sammy Mandell,6,1,0,1,1930-07-17,0.0
Georgie Rivers,0,1,0,0,,
George Levine,0,1,0,0,,
Mushy Callahan,4,1,2,1,1930-02-18,0.0
Pinky Mitchell,0,1,0,0,,
Gene Tunney,3,0,1,0,,
Joe Glick,0,4,0,0,,
Joe Jawson,0,1,0,0,,
Clausine Vincent,0,1,0,0,,
Carl Duane,0,1,0,0,,
Jamaica Kid,0,1,0,1,1926-12-10,0.0
Elky Clark,0,1,0,0,,
Bushy Graham,1,1,0,0,,
Andy DiVodi,0,1,0,1,1927-03-14,0.0
Vic Foley,0,1,0,0,,
Spug Myers,0,1,0,0,,
Joe Dundee,2,1,0,0,,
Bud Taylor,1,0,0,0,,
Tony Canzoneri,11,9,2,0,,
Tommy Milligan,0,1,0,1,1927-06-30,0.0
Billy Drako,0,1,0,0,,
Phil McGraw,0,1,0,0,,
Maxie Rosenbloom,7,2,2,0,,
Benny Bass,4,3,2,1,1931-07-15,0.0
Red Chapman,0,1,0,0,,
Pinky Silverberg,1,0,0,0,,
Ruby Bradley,0,2,0,0,,
Corporal Izzy Schwartz,6,2,2,0,,
Newsboy Brown,0,1,0,0,,
Frenchy Belanger,1,4,0,0,,
Ernie Jarvis,0,2,0,0,,
Leo Lomski,0,1,0,0,,
Routier Parra,0,1,0,0,,
Jimmy McLarnin,2,3,1,0,,
Jock Malone,0,1,0,0,,
Ace Hudkins,0,2,0,0,,
Frisco Grande,0,2,0,1,1928-08-31,0.0
Tom Heeney,0,1,0,1,1928-07-26,0.0
Little Jeff Smith,0,1,0,1,1928-08-03,0.0
Andre Routis,2,1,1,0,,
Steve Rocco,0,1,0,0,,
Joey Sangor,1,0,0,0,,
Emile Pladner,1,2,1,1,1932-09-19,0.0
Jackie Fields,3,2,0,0,,
Jack Thompson,2,3,1,0,,
Santiago Zorrilla,0,1,0,0,,
Baby Sal Sorio,0,1,0,0,,
Buster Brown,0,2,0,1,1929-05-27,0.0
Fred Mahan,0,1,0,1,1929-05-28,0.0
Panama Al Brown,12,1,2,0,,
Gregorio Vidal,0,1,0,0,,
Jim Braddock,1,2,0,1,1937-06-22,0.0
Willie LaMorte,1,1,0,1,1930-05-16,0.0
Battling Battalino,6,0,1,0,,
Yvon Trevidic,0,1,0,1,1930-01-18,0.0
Davey Abad,0,2,0,1,1930-02-03,0.0
Johnny Erickson,0,1,0,0,,
Lou Scozza,0,2,0,0,,
Jack Kid Berg,15,2,5,1,1931-04-24,75.0
Midget Wolgast,3,1,1,0,,
Black Bill,0,1,0,0,,
Al Delmont,0,1,0,1,1930-05-29,0.0
Max Schmeling,2,2,1,1,1938-06-22,0.0
Jack Sharkey,1,2,0,1,1933-06-29,0.0
Ignacio Fernandez,0,1,0,1,1930-07-15,0.0
Al Singer,1,1,1,1,1930-11-14,0.0
Tommy Freeman,1,1,0,1,1931-04-14,0.0
Eugene Huat,0,2,0,0,,
Billy Petrolle,0,2,0,0,,
Abie Bain,0,1,0,1,1930-10-22,0.0
Kid Chocolate,9,3,3,1,1933-12-25,0.0
Lew Massey,0,1,0,0,,
Goldie Hess,0,1,0,0,,
Herman Perlick,0,1,0,0,,
Billy Wallace,0,1,0,0,,
Ray Kiser,0,1,0,0,,
Tony Lambert,0,1,0,1,1931-06-22,0.0
Cecil Payne,0,1,0,0,,
Freddie Miller,13,3,4,0,,
Teddy Watson,0,1,0,1,1931-07-24,0.0
Philly Griffin,0,2,0,0,,
Jackie Harmon,0,1,0,1,1931-07-30,0.0
Jimmy McNamara,0,1,0,0,,
Pete Sanstol,0,2,0,0,,
Joey Scalfaro,0,1,0,1,1931-10-01,0.0
Valentin Angelmann,2,2,0,0,,
Lou Brouillard,2,4,1,0,,
Young Perez,1,4,1,1,1934-11-01,0.0
Earl Mastro,0,1,0,0,,
Marius Baudry,0,1,0,1,1931-12-14,0.0
Johnny Jadick,2,0,0,0,,
Gorilla Jones,2,2,1,0,,
Oddone Piazza,0,1,0,1,1932-01-25,0.0
George Nichols,1,0,0,0,,
Dave Maier,0,1,0,0,,
Young Terry,0,2,0,0,,
Tommy Paul,1,1,0,0,,
Johnny Pena,0,2,0,0,,
Marcel Thil,11,1,1,1,1937-09-23,0.0
Len Harvey,0,2,0,0,,
Kid Francis,0,1,0,0,,
Lew Feldman,0,2,0,2,1932-10-13,0.0
Jackie Brown,3,1,0,1,1935-09-09,0.0
Ben Jeby,2,1,1,1,1933-08-09,0.0
Frank Battaglia,0,2,0,2,1933-01-13,0.0
Young Corbett III,1,2,0,2,1933-05-29,0.0
Baby Arizmendi,1,2,0,0,,
Bob Godwin,1,1,0,1,1933-03-24,0.0
Joe Knight,0,1,0,0,,
Adolf Heuser,1,1,1,0,,
Domenico Bernasconi,0,1,0,0,,
Speedy Dado,0,1,0,0,,
Johnny Farr,0,1,0,0,,
Seaman Tommy Watson,0,1,0,0,,
Barney Ross,6,2,0,0,,
Primo Carnera,3,1,1,1,1934-06-14,0.0
Johnny King,0,1,0,0,,
Abie Israel,0,1,0,1,1933-07-11,0.0
Kid Tunero,0,2,0,0,,
Paulino Uzcudun,0,1,0,0,,
Vince Dundee,3,1,0,0,,
Frankie Wallace,0,1,0,0,,
Andy Callahan,0,1,0,0,,
Ginger Foran,0,1,0,0,,
Frankie Klick,1,0,1,0,,
Ignacio Ara,0,2,0,0,,
Gustave Roth,5,2,0,1,1938-03-25,0.0
Al Diamond,0,1,0,0,,
Paul Dazzo,0,1,0,1,1934-05-04,0.0
Max Baer,1,1,1,0,,
Gene Espinosa,0,1,0,1,1934-07-13,0.0
Mike Belloise,1,2,1,0,,
Teddy Yarosz,1,1,0,0,,
Nel Tarleton,0,2,0,0,,
Bob Olin,1,2,0,1,1937-06-03,0.0
Jose Girones,0,1,0,1,1935-02-17,0.0
Vilda Jaks,0,1,0,1,1935-05-04,0.0
