Fighter,Wins,Losses,KOs,KO_Losses,First_KO_Loss_Date,Post_KO_Win_%
Bunny Grant,0,1,0,0,,
Floyd Robertson,0,2,0,1,1966-02-12,0.0
Brian Curvis,0,1,0,0,,
Vicente Saldivar,9,2,4,1,1973-10-21,0.0
Tony Montano,0,1,0,1,1964-10-03,0.0
Bernardo Caraballo,0,2,0,1,1964-11-27,0.0
Fortunato Manca,0,1,0,0,,
Rubin Carter,0,1,0,0,,
Carlos Morocho Hernandez,3,2,1,0,,
Ernie Terrell,3,1,0,0,,
Eddie Machen,0,1,0,0,,
Jose Torres,4,3,2,0,,
Jose Stable,0,1,0,0,,
Ismael Laguna,3,4,2,0,,
Salvatore Burruni,2,1,1,0,,
Raul Rojas,1,3,0,2,1965-05-07,25.0
Mario Rossito,0,1,0,0,,
Nino Benvenuti,8,4,3,2,1970-11-07,0.0
Percy Hayles,0,1,0,1,1965-07-10,0.0
Howard Winstone,1,4,1,2,1967-10-14,33.33333333333333
George Chuvalo,0,2,0,0,,
Alan Rudkin,0,3,0,1,1969-12-12,0.0
Rocky Gattellari,0,1,0,1,1965-12-02,0.0
Kang Il Suh,0,1,0,0,,
Manuel Gonzalez,0,2,0,0,,
Horacio Accavallo,4,0,0,0,,
Katsuyoshi Takayama,0,1,0,0,,
Sandro Lopopolo,2,1,0,1,1967-04-30,0.0
Henry Cooper,0,1,0,1,1966-05-21,0.0
Wayne Thornton,0,1,0,0,,
Walter McGowan,1,2,0,2,1966-12-30,0.0
Kim Ki-soo,3,1,0,0,,
Joey Archer,0,2,0,0,,
Curtis Cokes,6,2,3,0,,
Karl Mildenberger,0,1,0,1,1966-09-10,0.0
Chic Calderwood,0,1,0,1,1966-10-15,0.0
Vicente Rivas,0,1,0,0,,
Vicente Milan Derado,0,1,0,0,,
Cleveland Williams,0,1,0,1,1966-11-14,0.0
Jean Josselin,0,1,0,0,,
Efren Torres,2,3,1,1,1968-01-28,50.0
Chartchai Chionoi,9,4,4,4,1969-02-23,50.0
Zora Folley,0,1,0,1,1967-03-22,0.0
Takeshi Fuji,2,1,2,0,,
Francois Pavilla,0,1,0,1,1967-05-19,0.0
Yoshiaki Numata,5,3,1,3,1967-12-14,57.14285714285714
Puntip Keosuriya,0,1,0,1,1967-07-26,0.0
Charley Shipes,0,1,0,1,1967-10-02,0.0
Freddie Little,3,2,1,0,,
Willi Quatuor,0,1,0,1,1967-11-16,0.0
Roger Rouse,0,2,0,1,1967-11-17,0.0
Hiroshi Kobayashi,6,1,1,1,1971-07-29,0.0
Lionel Rose,4,2,0,1,1969-08-22,0.0
Joe Frazier,10,2,5,1,1973-01-22,0.0
Buster Mathis,0,1,0,1,1968-03-04,0.0
Enrique Higgins,0,1,0,0,,
Willie Ludick,0,1,0,1,1968-04-16,0.0
Jimmy Ellis,2,1,0,0,,
Jerry Quarry,0,2,0,0,,
Bob Foster,14,1,10,1,1970-11-18,90.0
Manuel Ramos,0,1,0,1,1968-06-24,0.0
Carlos Cruz,2,1,0,1,1969-02-18,0.0
Takao Sakurai,0,1,0,0,,
Jose Legra,2,2,2,0,,
Shozo Saijo,6,1,1,1,1971-09-02,0.0
Mando Ramos,4,4,2,2,1970-03-03,40.0
Jaime Valladares,0,1,0,0,,
Ramon La Cruz,0,1,0,0,,
Bernabe Villacampo,1,2,0,0,,
Chucho Castillo,1,3,1,0,,
Oscar Bonavena,0,1,0,0,,
Nicolino Locche,6,2,0,0,,
Don Fullmer,0,1,0,0,,
Pedro Adigue Jr,1,1,0,0,,
Adolph Pruitt,0,3,0,1,1972-06-10,0.0
Johnny Famechon,3,1,1,0,,
Frank DePaula,0,1,0,1,1969-01-22,0.0
Pedro Gomez,0,1,0,0,,
Rene Barrientos,1,2,0,0,,
Ruben Navarro,0,3,0,1,1973-03-17,0.0
Stanley Hayward,0,1,0,0,,
Jose Severino,0,1,0,0,,
Antonio Amaya,0,3,0,0,,
Jose Napoles,15,3,7,2,1970-12-03,78.57142857142857
Dave Zyglewicz,0,1,0,1,1969-04-22,0.0
Andy Kendall,0,1,0,1,1969-05-24,0.0
Ruben Olivares,8,5,5,4,1970-10-16,50.0
Jose Luis Pimentel,0,1,0,1,1969-09-07,0.0
Hisao Minami,0,1,0,1,1969-09-09,0.0
Fraser Scott,0,1,0,0,,
Joao Henrique,0,4,0,2,1972-06-10,0.0
Carlos Ruben Canete,0,1,0,0,,
Susumu Hanagata,1,7,1,0,,
Bruno Arcari,10,0,5,0,,
Godfrey Stevens,0,1,0,0,,
Ernie Lopez,0,2,0,2,1970-02-14,0.0
Gerhard Piaskowy,0,1,0,0,,
Berkrerk Chartvanchai,1,1,0,1,1970-10-22,0.0
Tom Bethea,0,1,0,1,1970-05-23,0.0
Guts Ishimatsu,5,4,3,3,1970-06-06,55.55555555555556
Mark Tessman,0,1,0,1,1970-06-27,0.0
Frankie Crawford,0,2,0,0,,
Carmelo Bossi,1,1,0,0,,
Rene Roque,0,1,0,0,,
Ken Buchanan,3,2,0,1,1972-06-26,0.0
Masao Oba,6,0,3,0,,
Raimundo Dias,0,1,0,1,1970-10-30,0.0
Carlos Monzon,15,0,8,0,,
Billy Backus,1,4,1,2,1971-06-04,0.0
Erbito Salavarria,4,2,1,1,1976-02-27,0.0
Kuniaki Shibata,8,3,2,3,1972-05-19,66.66666666666666
Vicente Rondon,5,1,4,1,1972-04-07,0.0
Jimmy Dupree,0,1,0,1,1971-02-27,0.0
Hal Carroll,0,1,0,1,1971-03-02,0.0
Ricardo Arredondo,6,2,4,0,,
Betulio Gonzalez,7,8,5,2,1972-09-29,46.15384615384615
Domingo Barrera,0,2,0,1,1971-10-09,0.0
Ray Anderson,0,1,0,0,,
Raul Cruz,0,1,0,1,1971-06-03,0.0
Piero Del Papa,0,1,0,1,1971-06-05,0.0
Enrique Jana,0,1,0,1,1971-06-26,0.0
Alfredo Marcano,2,2,2,1,1974-09-07,0.0
Eddie Jones,0,1,0,0,,
Antonio Gomez,2,2,2,1,1973-07-14,0.0
Fernando Cabanela,0,3,0,1,1977-02-05,0.0
Kazuyoshi Kanazawa,0,1,0,1,1971-10-25,0.0
Gomeo Brennan,0,1,0,1,1971-10-26,0.0
Tommy Hicks,0,1,0,1,1971-10-30,0.0
Koichi Wajima,8,4,3,4,1974-06-04,33.33333333333333
Pedro Carrasco,1,2,0,0,,
Kenji Iwata,0,1,0,1,1971-11-06,0.0
Antonio Cervantes,18,3,9,1,1980-08-02,0.0
Jesus Pimentel,0,1,0,0,,
Hedgemon Lewis,2,3,0,2,1974-08-03,0.0
Doyle Baird,0,1,0,1,1971-12-15,0.0
Brian Kelly,0,1,0,1,1971-12-16,0.0
Terry Daniels,0,1,0,1,1972-01-15,0.0
Isaac Marin,0,1,0,0,,
Raul Martinez Mora,0,1,0,1,1972-02-05,0.0
Alfonso Frazer,1,2,0,2,1972-10-28,0.0
Rafael Herrera,4,2,3,1,1974-12-07,0.0
Ralph Charles,0,1,0,1,1972-03-28,0.0
William Martinez,0,1,0,1,1972-04-22,0.0
Ben Villaflor,5,2,3,0,,
Domenico Tiberia,0,1,0,1,1972-05-07,0.0
Clemente Sanchez,1,1,1,1,1972-12-16,0.0
Ron Stander,0,1,0,0,,
Socrates Batoto,0,2,0,2,1972-06-03,0.0
Jean Claude Bouttier,0,2,0,0,,
Orlando Amores,0,1,0,1,1972-06-20,0.0
Roberto Duran,16,6,13,3,1980-11-25,25.0
Mike Quarry,0,1,0,1,1972-06-27,0.0
Enrique Pinder,1,2,0,2,1973-01-20,0.0
Ernesto Marcel,5,0,3,0,,
Tom Bogs,0,1,0,1,1972-08-19,0.0
Chango Carmona,1,1,1,0,,
Susumu Okabe,0,1,0,1,1972-09-15,0.0
Chris Finnegan,0,1,0,1,1972-09-26,0.0
Venice Borkhorsor,2,2,1,0,,
Matt Donovan,0,1,0,1,1972-10-03,0.0
Rodolfo Gonzalez,3,5,2,3,1974-04-11,0.0
Bennie Briscoe,0,3,0,1,1974-05-25,0.0
Enrique Garcia,0,1,0,1,1972-12-02,0.0
Everaldo Costa Azevedo,0,2,0,0,,
Romeo Anaya,3,2,2,2,1973-11-03,0.0
Jimmy Robertson,0,1,0,1,1973-01-20,0.0
George Foreman,5,3,4,1,1974-10-30,40.0
Josue Marquez,0,1,0,0,,
Apollo Yoshio,0,2,0,0,,
Rodolfo Martinez,4,2,1,2,1973-04-14,66.66666666666666
Ryu Sorimachi,0,3,0,2,1974-10-08,0.0
Rogelio Lara,0,1,0,0,,
Fritz Chervet,0,2,0,0,,
Hector Thompson,0,2,0,1,1973-06-02,0.0
Victor Federico Echegaray,0,1,0,0,,
Roger Menetrey,0,1,0,0,,
Miguel Canto,15,2,1,0,,
Silvano Bertini,0,1,0,0,,
Pierre Fourie,0,4,0,0,,
Jose Roman,0,1,0,1,1973-09-01,0.0
Morito Kashiwaba,0,2,0,2,1973-09-01,0.0
Spider Nemoto,0,2,0,1,1973-09-08,0.0
Carlos Maria Gimenez,0,2,0,1,1973-09-08,0.0
Clyde Gray,0,3,0,1,1977-08-06,0.0
Antonio Puddu,0,1,0,1,1973-10-27,0.0
Joergen Hansen,0,1,0,1,1973-11-01,0.0
Arnold Taylor,1,1,1,0,,
Alberto Morales,0,2,0,1,1973-11-17,0.0
Lion Furuyama,0,3,0,0,,
Miguel de Oliveira,1,2,0,1,1975-11-13,0.0
Alexis Arguello,19,3,14,2,1982-11-12,0.0
Antonio Ortiz,0,1,0,0,,
Chang Kil Lee,0,1,0,1,1974-03-02,0.0
Esteban de Jesus,4,4,3,3,1974-03-16,50.0
Ken Norton,0,3,0,1,1974-03-26,0.0
Rodrigo Valdes,6,4,4,0,,
Oscar Albarado,2,1,2,0,,
Hong Soo-hwan,4,3,1,3,1975-03-14,40.0
Zensuke Utagawa,0,1,0,1,1974-07-09,0.0
Franco Udella,1,2,0,2,1974-07-20,33.33333333333333
Victor Ortiz,1,2,0,2,1974-07-27,33.33333333333333
Yasutsune Uehara,2,2,1,1,1974-08-24,50.0
Bobby Chacon,3,4,2,2,1975-06-20,20.0
Perico Fernandez,2,2,1,1,1975-07-15,0.0
Shoji Oguma,5,7,1,3,1979-07-06,57.14285714285714
John Conteh,4,3,2,1,1980-03-29,0.0
Jorge Ahumada,0,2,0,0,,
Ramiro Bolanos,0,1,0,1,1974-10-03,0.0
Tony Mundine,0,1,0,1,1974-10-05,0.0
Shinichi Kadota,0,1,0,1,1974-10-26,0.0
Gratien Tonna,0,2,0,2,1974-11-30,0.0
Victor Galindez,12,2,2,2,1978-09-15,33.33333333333333
Len Hutchins,0,2,0,1,1977-03-05,0.0
Horacio Agustin Saldano,0,1,0,1,1974-12-14,0.0
Masataka Takayama,0,1,0,1,1974-12-21,0.0
Jesus Estrada,0,1,0,1,1975-03-01,0.0
Ray Lampkin,0,1,0,1,1975-03-02,0.0
Lonnie Bennett,0,1,0,1,1975-03-11,0.0
Hyun Chi Kim,0,1,0,0,,
Alfonso Zamora,6,1,6,1,1977-11-19,0.0
Leonel Hernandez,0,4,0,0,,
Chuck Wepner,0,1,0,1,1975-03-24,0.0
Ould Makloufi,0,1,0,0,,
Armando Muniz,0,4,0,1,1977-01-21,0.0
Valentin Martinez,0,2,0,1,1976-11-21,0.0
Jose Duran,1,3,1,1,1978-05-14,0.0
Ron Lyle,0,1,0,1,1975-05-16,0.0
Nestor Jimenez,0,2,0,1,1979-03-09,0.0
Rigoberto Riasco,3,2,1,2,1975-05-31,60.0
Ramon Mendez,0,1,0,1,1975-05-31,0.0
Arturo Pineda,0,1,0,0,,
Yuh Jae-doo,2,1,2,1,1976-02-17,0.0
Angel Espada,2,3,0,2,1976-07-17,0.0
Joe Bugner,0,1,0,0,,
Tony Licata,0,1,0,1,1975-06-30,0.0
Alfredo Escalera,10,2,6,2,1978-01-28,0.0
Saensak Muangsurin,10,2,7,1,1978-12-30,0.0
Rudy Robles,0,1,0,0,,
Jiro Takada,0,2,0,2,1975-08-23,0.0
Jaime Rios,2,3,0,1,1978-05-07,0.0
Rigoberto Marcano,0,3,0,1,1979-01-07,0.0
Thanomchit Sukhothai,0,1,0,1,1975-08-30,0.0
Luis Estaba,12,2,6,2,1978-02-19,0.0
Rafael Lovera,0,1,0,1,1975-09-13,0.0
David Kotey,3,2,1,1,1978-02-15,0.0
Hisami Numata,0,1,0,0,,
Johnny Gant,0,1,0,0,,
Royal Kobayashi,1,4,1,2,1975-10-12,20.0
Masahiro Misako,0,1,0,1,1975-11-11,0.0
Elisha Obed,3,2,2,2,1976-06-18,0.0
Alvaro Rojas,0,2,0,2,1975-12-04,0.0
John H Stracey,2,1,2,1,1976-06-22,0.0
Svein Erik Paulsen,0,1,0,1,1975-12-12,0.0
Ignacio Espinal,0,1,0,0,,
Takenobu Shimabukuro,0,1,0,1,1975-12-17,0.0
Leoncio Ortiz,0,1,0,1,1975-12-20,0.0
Kazunori Tenryu,0,1,0,0,,
Leo Palacios,0,1,0,0,,
Jean Pierre Coopman,0,1,0,1,1976-02-20,0.0
Jose Fernandez,0,1,0,1,1976-02-20,0.0
Alfonso Lopez,2,4,1,3,1976-10-02,0.0
Tony Gardner,0,1,0,1,1976-02-28,0.0
Flipper Uehara,0,2,0,0,,
Wilfred Benitez,8,2,2,1,1979-11-30,60.0
Harald Skog,0,1,0,1,1976-03-28,0.0
Nessim Max Cohen,0,1,0,1,1976-03-28,0.0
Buzzsaw Yamabe,0,3,0,2,1976-04-01,0.0
Eusebio Pedroza,19,2,10,1,1976-04-03,90.47619047619048
Waruinge Nakayama,0,2,0,1,1976-11-13,0.0
Sea Robinson,0,1,0,0,,
Jimmy Young,0,1,0,0,,
Juan Alvarez,0,2,0,1,1977-08-21,0.0
Carlos Zarate,10,4,10,2,1978-10-28,20.0
Richie Kates,0,2,0,1,1976-05-22,0.0
Lou Bizzarro,0,1,0,1,1976-05-23,0.0
Richard Dunn,0,1,0,1,1976-05-24,0.0
Emiliano Villa,0,2,0,0,,
Livio Nolasco,0,1,0,1,1976-06-12,0.0
Eckhard Dagge,2,1,1,1,1977-08-06,0.0
Salvador Torres,0,1,0,1,1976-06-19,0.0
Carlos Palomino,8,1,6,0,,
Miguel Velazquez,1,1,0,1,1976-10-29,0.0
Juan Guzman,1,1,0,1,1976-10-10,0.0
Gilberto Illueca,0,1,0,1,1976-07-10,0.0
Shig Fukuyama,0,1,0,1,1976-07-16,0.0
Pipino Cuevas,12,1,9,1,1980-08-02,0.0
Yum Dong-kyun,2,2,0,1,1977-05-21,0.0
Paul Ferreri,0,1,0,1,1976-08-28,0.0
Hector Julio Medina,0,1,0,1,1976-09-10,0.0
Ray Lunny III,0,1,0,0,,
Rodolfo Rodriguez,0,1,0,0,,
Guty Espadas,5,3,5,2,1979-12-16,0.0
Kosie Smith,0,1,0,0,,
Miguel Angel Castellini,1,1,0,0,,
Yaqui Lopez,0,5,0,2,1980-07-13,0.0
Yoko Gushiken,14,1,9,1,1981-03-08,0.0
Samuel Serrano,15,2,5,2,1980-08-02,66.66666666666666
Tony Petronelli,0,1,0,1,1976-10-16,0.0
Shoji Tsujimoto,0,1,0,1,1976-10-27,0.0
Danny Lopez,9,2,6,2,1980-02-02,0.0
Orlando Javierto,0,1,0,0,,
Tyrone Everett,0,1,0,0,,
Rafael Ortega,2,1,0,0,,
Francisco Coronado,0,1,0,0,,
Alberto Herrera,0,1,0,1,1977-01-15,0.0
Monroe Brooks,0,1,0,1,1977-01-15,0.0
Vilomar Fernandez,0,2,0,1,1977-01-29,0.0
Jose Cervantes,0,2,0,1,1980-12-13,0.0
Eddie Gazo,4,1,1,0,,
Miguel Angel Campanino,0,1,0,1,1977-03-12,0.0
Ronnie McGarvey,0,1,0,1,1977-03-17,0.0
Luis Reyes Arnal,0,1,0,0,,
Rafael Pedroza,1,3,0,0,,
Alfredo Evangelista,0,2,0,1,1978-11-10,0.0
Carlos Becerril,0,1,0,1,1977-05-16,0.0
Miguel Angel Cuello,1,1,1,1,1978-01-07,0.0
Jesse Burnett,0,2,0,2,1977-05-21,0.0
Wilfredo Gomez,20,3,16,3,1981-08-21,66.66666666666666
Dave 'Boy' Green,0,2,0,2,1977-06-14,0.0
Kimio Furesawa,0,2,0,1,1978-01-02,0.0
Vicente Mijares,0,1,0,1,1977-06-25,0.0
Raul Tirado,0,1,0,1,1977-07-11,0.0
Ricardo Estupinan,0,1,0,0,,
Rocky Mattioli,3,2,3,2,1979-03-04,0.0
Mike Everett,0,1,0,1,1977-08-20,0.0
Sigfrido Rodriguez,0,1,0,0,,
Kenji Shibata,0,1,0,0,,
Martin Vargas,0,4,0,2,1978-11-04,0.0
Edwin Viruet,0,1,0,0,,
Orlando Hernandez,0,1,0,1,1977-09-18,0.0
Earnie Shavers,0,2,0,1,1979-09-28,0.0
Montsayarm Haw Mahachai,0,1,0,1,1977-10-09,0.0
Saoul Mamby,6,4,2,0,,
Danilo Batista,0,1,0,1,1977-10-29,0.0
Netrnoi Sor Vorasingh,2,3,1,2,1978-09-30,0.0
Adriano Marrero,0,1,0,0,,
Jorge Lujan,6,4,5,0,,
Alex Guido,0,1,0,1,1977-11-19,0.0
Tae Ho Kim,0,1,0,1,1977-11-19,0.0
Eddie Mustafa Muhammad,3,3,2,0,,
Hector Carrasquilla,0,2,0,2,1977-11-26,0.0
Juan Francisco Rodriguez,0,1,0,1,1977-12-02,0.0
Jose Palacios,0,1,0,1,1977-12-10,0.0
Cecilio Lastra,1,1,0,1,1978-04-15,0.0
Jae Keun Lim,0,1,0,0,,
Jo Kimpuani,0,2,0,1,1977-12-30,0.0
Mate Parlov,2,2,1,1,1978-12-02,0.0
Aniceto Vargas,0,1,0,1,1978-01-29,0.0
Yu Kasahara,0,1,0,0,,
Leon Spinks,1,3,0,2,1981-06-12,0.0
Mario Martinez,0,5,0,2,1984-09-13,0.0
Freddy Castillo,2,3,1,0,,
Alberto Davila,1,5,1,1,1978-02-25,16.666666666666664
Harold Weston,0,2,0,0,,
Roberto Rubaldino,0,3,0,2,1978-03-18,0.0
Mimoun Mohatar,0,1,0,1,1978-03-18,0.0
Juan Antonio Lopez,0,2,0,2,1978-04-08,0.0
Francisco Moreno,0,1,0,1,1978-04-08,0.0
Andres Hernandez,0,1,0,1,1978-04-22,0.0
Hugo Corro,3,1,0,0,,
Jose de Paula,0,1,0,1,1978-04-23,0.0
Rey Tam,0,1,0,1,1978-04-29,0.0
Tongta Kiatvayupakdi,0,1,0,1,1978-04-29,0.0
Ricardo Cardona,6,2,1,2,1980-05-04,0.0
Sakad Petchyindee,0,1,0,1,1978-06-02,0.0
Diego Alcala,0,1,0,1,1978-06-03,0.0
Emilio Hernandez,0,1,0,1,1978-06-09,0.0
Larry Holmes,21,5,14,1,1988-01-22,0.0
Ernesto Herrera,0,1,0,1,1978-07-02,0.0
Young Ho Oh,0,2,0,1,1980-08-02,0.0
Ronnie Harris,0,1,0,0,,
Masashi Kudo,4,1,1,0,,
Norman Sekgapane,0,1,0,1,1978-08-26,0.0
Ruben Valdes,0,2,0,0,,
Leonardo Cruz,4,3,1,2,1978-09-09,57.14285714285714
Pete Ranzany,0,1,0,1,1978-09-09,0.0
Juan Domingo Malvarez,0,2,0,2,1978-09-15,0.0
Mike Rossman,2,1,2,0,,
Kim Sung-Jun,3,2,1,0,,
Sang Il Jung,0,1,0,1,1978-10-15,0.0
Fel Clemente,0,1,0,0,,
Arturo Leon,0,1,0,0,,
Soon Hyun Chung,0,3,0,0,,
Facomron Vibonchai,0,1,0,0,,
Enrique Solis,0,1,0,0,,
Takao Maruki,0,1,0,0,,
Marvin Johnson,4,3,4,2,1979-04-22,50.0
Aldo Traversaro,0,1,0,1,1978-12-05,0.0
Ho Joo,0,1,0,0,,
Kim Sang-hyun,3,2,2,2,1980-02-23,0.0
Miguel Montilla,0,3,0,2,1980-03-29,0.0
Scott Clark,0,1,0,1,1979-01-29,0.0
Antonio Avelar,2,3,2,2,1982-03-20,0.0
Julio Valdez,0,1,0,0,,
Maurice Hope,4,1,3,1,1981-05-23,0.0
John Kodjo Mensan,0,1,0,1,1979-03-10,0.0
Roberto Castanon,0,2,0,2,1979-03-10,0.0
Manuel Ricardo Gonzalez,0,2,0,1,1979-06-20,0.0
Park Chan-hee,5,3,1,1,1980-05-18,0.0
Ossie Ocasio,4,3,1,2,1979-03-23,57.14285714285714
Cleo Garcia,0,3,0,2,1979-04-08,0.0
Nkosana Mgxaji,0,1,0,1,1979-04-14,0.0
Jim Watt,5,1,4,0,,
Alfredo Pitalua,0,1,0,1,1979-04-17,0.0
Matthew Saad Muhammad,9,2,8,2,1981-12-19,0.0
Chikara Igarashi,0,1,0,0,,
Lupe Pintor,9,2,5,2,1982-12-03,33.33333333333333
Fitzroy Guisseppi,0,1,0,0,,
Ernesto Espana,2,4,2,3,1980-03-02,0.0
Claude Noel,1,2,0,2,1979-06-16,33.33333333333333
Julio Hernandez,0,1,0,1,1979-06-16,0.0
Mike Ayala,0,3,0,3,1979-06-17,0.0
Mike Weaver,3,3,2,3,1979-06-22,50.0
Vito Antuofermo,1,3,0,0,,
Rafael Limon,3,4,3,2,1979-07-08,42.857142857142854
Siony Carupo,0,1,0,0,,
Randy Shields,0,2,0,1,1981-04-25,0.0
Johnny Lira,0,1,0,1,1979-08-04,0.0
Kwang Min Kim,0,1,0,0,,
Yukio Segawa,0,1,0,0,,
Jose Caba,0,2,0,1,1979-09-25,0.0
Mike Baker,0,1,0,1,1979-09-25,0.0
Carlos Mendoza,0,1,0,1,1979-09-28,0.0
Masahiro Yogai,0,1,0,1,1979-10-03,0.0
John Tate,1,1,0,1,1980-03-31,0.0
Gerrie Coetzee,1,3,1,2,1980-10-25,33.33333333333333
Hector Melendez,0,2,0,0,,
Ayub Kalule,5,2,0,2,1981-06-25,0.0
Nicky Perez,0,1,0,1,1979-10-26,0.0
Tito Abella,0,1,0,1,1979-10-28,0.0
Robert Vasquez,0,1,0,1,1979-11-03,0.0
Johnny Aba,0,1,0,1,1979-11-17,0.0
Luis Ibarra,2,2,0,2,1980-02-17,33.33333333333333
Sugar Ray Leonard,10,2,8,0,,
Steve Gregory,0,1,0,0,,
Sergio Victor Palma,6,2,3,0,,
Shigeo Nakajima,1,2,0,1,1980-09-17,0.0
Ruben Castillo,0,4,0,2,1980-01-20,0.0
Yong Hyun Kim,0,1,0,0,,
Salvador Sanchez,10,0,5,0,,
Rafael Orono,7,3,4,2,1981-01-24,57.14285714285714
Lee Seung-hoon,4,3,3,1,1982-06-03,66.66666666666666
Lorenzo Zanon,0,1,0,1,1980-02-03,0.0
Alberto Sandoval,0,1,0,1,1980-02-09,0.0
Arnel Arrozal,0,2,0,0,,
Kim Tae-shik,2,2,1,1,1981-08-30,0.0
Hilmer Kenty,4,1,3,0,,
Charlie Nash,0,1,0,1,1980-03-14,0.0
Alan Minter,2,1,0,1,1980-09-27,0.0
Hilario Zapata,18,5,3,3,1982-02-06,64.28571428571429
Marvin Camel,2,3,1,2,1982-02-24,33.33333333333333
Leroy Jones,0,1,0,1,1980-03-31,0.0
Shuichi Isogami,0,1,0,1,1980-04-02,0.0
Battlehawk Kazama,0,1,0,1,1980-04-03,0.0
Harold Volbrecht,0,2,0,2,1980-04-06,0.0
Ramon Balbino Soria,0,1,0,0,,
Rolando Navarrete,2,2,2,1,1982-05-29,0.0
Leo Randolph,1,1,1,1,1980-08-09,0.0
Louis Pergaud,0,1,0,1,1980-05-11,0.0
Chi Bok Kim,0,1,0,0,,
Howard Davis Jr,0,3,0,1,1988-07-31,0.0
Marijan Benes,0,1,0,0,,
Scott LeDoux,0,1,0,1,1980-07-07,0.0
Sa Wang Kim,0,1,0,1,1980-07-20,0.0
Jerry Martin,0,3,0,3,1980-07-20,0.0
Aaron Pryor,11,0,9,0,,
Thomas Hearns,14,4,9,3,1981-09-16,71.42857142857143
Derrik Holmes,0,1,0,1,1980-08-22,0.0
Julian Solis,1,2,0,2,1980-11-14,0.0
Bushy Bester,0,1,0,0,,
Pat Ford,0,2,0,1,1981-02-14,0.0
Jovito Rengifo,0,2,0,2,1980-09-15,0.0
Johnny Owen,0,1,0,1,1980-09-19,0.0
Marvin Hagler,13,1,10,0,,
Maurice Watkins,0,1,0,0,,
Rocky Lockridge,6,6,4,0,,
Pedro Flores,1,2,1,1,1981-07-19,0.0
Sean O'Grady,1,1,0,1,1980-11-01,50.0
Ulises Morales,0,1,0,1,1980-11-08,0.0
Jeff Chandler,9,1,7,1,1984-04-07,0.0
Gaetan Hart,0,1,0,1,1980-11-22,0.0
Carlos De Leon,11,4,4,2,1982-06-27,69.23076923076923
Carlos Herrera,0,1,0,0,,
Lottie Mwale,0,1,0,1,1980-11-28,0.0
Rudy Koopmans,0,1,0,0,,
Reinaldo Jose Becerra,0,1,0,0,,
Luis Primera,0,1,0,1,1980-12-06,0.0
Idelfonso Bethelmy,0,1,0,1,1980-12-11,0.0
Juan Laporte,3,8,0,0,,
Peter Mathebula,1,1,0,1,1981-03-28,0.0
Fulgencio Obelmejias,1,3,0,3,1981-01-17,25.0
Kim Chul-Ho,5,1,4,1,1982-11-28,0.0
Joey Olivo,2,2,0,0,,
Jose Felix Uziga,0,1,0,0,,
Vonzell Johnson,0,2,0,2,1981-02-28,0.0
Cornelius Boza-Edwards,2,3,0,2,1981-08-29,0.0
Santos Laciar,12,3,8,0,,
Larry Bonds,0,1,0,1,1981-03-28,0.0
Trevor Berbick,1,2,0,1,1986-11-22,0.0
Jiro Watanabe,12,2,6,0,,
Rudy Crawford,0,1,0,0,,
Murray Sutherland,1,3,0,3,1981-04-25,25.0
Pablo Baez,0,1,0,1,1981-06-25,0.0
Lennox Blackmoore,0,1,0,1,1981-06-27,0.0
Michael Spinks,15,1,10,1,1988-06-27,0.0
Kim Hwan-Jin,2,2,1,0,,
Willie Jensen,0,1,0,1,1981-07-29,0.0
Carlos Pinango,0,1,0,1,1981-08-01,0.0
German Torres,1,5,0,1,1989-03-19,0.0
Thomas Americo,0,1,0,0,,
Gustavo Ballas,1,3,1,1,1987-10-24,0.0
Suk Chul Bae,0,1,0,1,1981-09-12,0.0
Hurricane Teru,0,1,0,1,1981-09-22,0.0
Juan Herrera,2,3,2,1,1982-05-01,0.0
James Tillis,0,1,0,0,,
Ray Mancini,5,4,5,2,1981-10-03,55.55555555555556
Mustafa Hamsho,0,2,0,2,1981-10-03,0.0
Vichit Muangroi et,0,1,0,0,,
Renaldo Snipes,0,1,0,1,1981-11-06,0.0
Tadashi Mihara,1,1,0,1,1982-02-02,0.0
Rocky Fratto,0,1,0,0,,
Dujuan Johnson,0,1,0,1,1981-11-14,0.0
Carlos Santos,2,2,0,0,,
Jackal Maruyama,0,1,0,1,1981-11-18,0.0
Roberto Elizondo,0,2,0,2,1981-11-21,0.0
Bashew Sibaca,0,1,0,1,1981-12-05,0.0
Arturo Frias,2,1,1,1,1982-05-08,0.0
Eijiro Murata,0,2,0,2,1981-12-10,0.0
Hikaru Tomonari,0,1,0,1,1981-12-10,0.0
Pat Cowdell,0,2,0,1,1985-10-12,0.0
Katsuo Tokashiki,5,3,1,1,1984-08-18,0.0
Dwight Muhammad Qawi,6,4,6,1,1987-12-05,0.0
Obisia Nwankpa,0,1,0,0,,
Chung Il Choi,0,2,0,2,1982-01-16,0.0
Davey Moore,4,2,4,2,1983-06-16,0.0
Amado Ursua,1,1,1,0,,
Koki Ishii,0,1,0,1,1982-02-10,0.0
Robbie Williams,0,1,0,0,,
Mustafa Wasajja,0,1,0,1,1982-02-13,0.0
James Busceme,0,1,0,1,1982-02-13,0.0
Bruce Finch,0,1,0,1,1982-02-15,0.0
Caveman Lee,0,1,0,1,1982-03-07,0.0
Prudencio Cardona,1,2,1,1,1984-09-15,0.0
Johnny Carter,0,1,0,1,1982-03-27,0.0
